Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C002-MAIN,69.47,46.98,64.76 Kbps,116.66 Kbps,318.03 Kbps,71.85 Kbps
BR-C003-NPADA,52.43,49.92,148.58 Kbps,465.37 Kbps,2.39 Mbps,408.05 Kbps
BR-C004-WGEST,57.47,47.72,89.65 Kbps,167.48 Kbps,303.88 Kbps,48.44 Kbps
BR-C005-RABOD,69.08,45.92,57.97 Kbps,149.36 Kbps,313.81 Kbps,61.05 Kbps
BR-C006-KOPRI,56.51,47.26,68.53 Kbps,131.84 Kbps,306.27 Kbps,62.52 Kbps
BR-C007-VRTNG,53.5,46.9,85.31 Kbps,185.08 Kbps,372.02 Kbps,76.90 Kbps
BR-C008-PCPKD,66.16,46.75,77.19 Kbps,203.00 Kbps,228.56 Kbps,71.74 Kbps
BR-C009-KHOPT,69.32,48.04,64.34 Kbps,127.33 Kbps,192.16 Kbps,58.05 Kbps
BR-C010-AIRLI,55.77,46.11,37.87 Kbps,75.43 Kbps,264.12 Kbps,58.49 Kbps
BR-C011-SHRNG,58.37,49.87,58.63 Kbps,244.94 Kbps,261.36 Kbps,206.34 Kbps
BR-C012-VAS17,58.51,45.85,0.09 Kbps,0.00 Kbps,310.25 Kbps,87.78 Kbps
BR-C013-MULUW,58.59,47.15,36.34 Kbps,221.65 Kbps,94.81 Kbps,60.28 Kbps
BR-C014-KALWA,65.18,47.59,58.45 Kbps,124.36 Kbps,133.88 Kbps,46.10 Kbps
BR-C015-GKPE,59.54,47.26,47.08 Kbps,100.76 Kbps,174.87 Kbps,79.72 Kbps
BR-C016-SHRPR,63.05,47.13,41.02 Kbps,103.61 Kbps,183.17 Kbps,62.74 Kbps
BR-C017-DECAN,64.42,47.26,48.13 Kbps,246.22 Kbps,309.41 Kbps,77.77 Kbps
BR-C018-SDPET,57.71,46.15,32.70 Kbps,67.77 Kbps,119.33 Kbps,40.88 Kbps
BR-C019-VILEP,53.83,46.6,41.65 Kbps,70.80 Kbps,306.52 Kbps,75.04 Kbps
BR-C020-DOMBE,54.33,46.42,46.47 Kbps,185.85 Kbps,99.32 Kbps,50.51 Kbps
BR-C021-GANGA,54.96,46.9,47.51 Kbps,81.67 Kbps,229.54 Kbps,38.56 Kbps
BR-C022-GHODB,68.26,47.81,55.19 Kbps,106.91 Kbps,280.48 Kbps,63.26 Kbps
BR-C023-GOREG,70.64,46.65,35.15 Kbps,66.53 Kbps,107.84 Kbps,45.15 Kbps
BR-C024-BORIW,54.09,47.31,40.51 Kbps,73.55 Kbps,112.26 Kbps,43.30 Kbps
BR-C025-NARHE,70.24,47.15,36.65 Kbps,56.79 Kbps,209.62 Kbps,36.97 Kbps
BR-C028-YERWD,57.43,45.42,37.09 Kbps,67.24 Kbps,75.70 Kbps,27.45 Kbps
BR-C029-ALAND,64.66,45.57,34.24 Kbps,75.49 Kbps,108.90 Kbps,37.87 Kbps
BR-C031-CHCWD,46.41,47.17,46.63 Kbps,90.04 Kbps,172.85 Kbps,48.39 Kbps
