Hostname,Memory utilization,CPU utilization,"Interface [""GigabitEthernet0/0/0""]: Bits sent","Interface [""GigabitEthernet0/0/0""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits received","Interface [""GigabitEthernet0/0/1""]: Bits sent"
BR-C002-MAIN,69.49,47.07,77.13 Kbps,132.69 Kbps,308.20 Kbps,75.17 Kbps
BR-C003-NPADA,52.84,50.51,194.68 Kbps,505.08 Kbps,2.42 Mbps,421.49 Kbps
BR-C004-WGEST,57.35,47.84,100.69 Kbps,183.14 Kbps,287.31 Kbps,51.13 Kbps
BR-C005-RABOD,69.39,45.99,72.55 Kbps,176.84 Kbps,287.73 Kbps,65.48 Kbps
BR-C006-KOPRI,56.6,47.47,80.43 Kbps,144.84 Kbps,293.74 Kbps,65.39 Kbps
BR-C007-VRTNG,53.34,46.95,90.23 Kbps,189.78 Kbps,352.02 Kbps,79.44 Kbps
BR-C008-PCPKD,66.3,46.9,85.30 Kbps,203.51 Kbps,224.69 Kbps,74.32 Kbps
BR-C009-KHOPT,69.34,48.18,77.86 Kbps,138.44 Kbps,198.53 Kbps,65.66 Kbps
BR-C010-AIRLI,55.91,46.11,38.08 Kbps,77.58 Kbps,240.87 Kbps,61.64 Kbps
BR-C011-SHRNG,58.34,49.99,62.67 Kbps,250.43 Kbps,261.06 Kbps,212.49 Kbps
BR-C012-VAS17,58.6,46.04,0.09 Kbps,0.00 Kbps,318.65 Kbps,98.08 Kbps
BR-C013-MULUW,58.88,47.26,44.39 Kbps,197.94 Kbps,99.56 Kbps,63.05 Kbps
BR-C014-KALWA,65.33,47.61,58.92 Kbps,118.08 Kbps,101.82 Kbps,47.71 Kbps
BR-C015-GKPE,59.87,47.41,54.83 Kbps,103.45 Kbps,179.50 Kbps,82.77 Kbps
BR-C016-SHRPR,63.32,47.25,44.81 Kbps,105.76 Kbps,176.13 Kbps,66.97 Kbps
BR-C017-DECAN,64.58,47.28,48.47 Kbps,191.22 Kbps,278.93 Kbps,85.96 Kbps
BR-C018-SDPET,57.63,46.21,35.66 Kbps,71.46 Kbps,117.35 Kbps,42.66 Kbps
BR-C019-VILEP,53.93,46.77,50.17 Kbps,81.37 Kbps,280.11 Kbps,76.97 Kbps
BR-C020-DOMBE,54.53,46.53,51.79 Kbps,179.66 Kbps,97.88 Kbps,53.90 Kbps
BR-C021-GANGA,54.97,46.98,51.10 Kbps,84.83 Kbps,204.32 Kbps,39.70 Kbps
BR-C022-GHODB,68.51,47.84,63.90 Kbps,111.00 Kbps,259.61 Kbps,64.74 Kbps
BR-C023-GOREG,70.67,46.69,37.70 Kbps,69.03 Kbps,103.48 Kbps,46.15 Kbps
BR-C024-BORIW,54.17,47.38,42.01 Kbps,74.45 Kbps,114.51 Kbps,45.25 Kbps
BR-C025-NARHE,70.27,47.16,39.41 Kbps,57.06 Kbps,180.72 Kbps,36.15 Kbps
BR-C028-YERWD,57.54,45.55,38.79 Kbps,70.49 Kbps,87.49 Kbps,32.89 Kbps
BR-C029-ALAND,64.81,45.6,35.42 Kbps,77.96 Kbps,104.89 Kbps,39.88 Kbps
BR-C031-CHCWD,46.54,47.28,49.94 Kbps,93.62 Kbps,175.38 Kbps,54.12 Kbps
BR-C032-DEHRD,51.75,47.21,42.99 Kbps,98.94 Kbps,116.44 Kbps,77.02 Kbps
BR-C034-BHSRI,57.89,48.19,64.25 Kbps,134.28 Kbps,411.35 Kbps,148.44 Kbps
BR-C035-PMPRI,69.82,46.75,34.76 Kbps,92.83 Kbps,120.91 Kbps,54.95 Kbps
BR-C036-MYARD,55.87,46.81,46.39 Kbps,104.16 Kbps,248.04 Kbps,64.91 Kbps
BR-C037-CHAKN,56.9,46.61,44.69 Kbps,85.47 Kbps,72.52 Kbps,35.72 Kbps
BR-C038-THRGN,63.6,46.24,28.92 Kbps,101.60 Kbps,106.14 Kbps,52.73 Kbps
BR-C040-NIGDI,55.51,46.09,54.70 Kbps,115.72 Kbps,212.54 Kbps,33.87 Kbps
BR-C042-MSLCL,60.93,46.82,34.75 Kbps,93.63 Kbps,87.65 Kbps,35.35 Kbps
BR-C044-SMBNG,54.75,45.95,46.73 Kbps,141.06 Kbps,143.11 Kbps,46.05 Kbps
BR-C045-AMBAD,58.71,47.41,61.28 Kbps,132.61 Kbps,448.29 Kbps,82.56 Kbps
BR-C046-POKRN,52.78,47.75,93.00 Kbps,165.03 Kbps,203.35 Kbps,83.68 Kbps
BR-C047-BHWDI,50.85,47.49,66.36 Kbps,127.61 Kbps,133.21 Kbps,43.36 Kbps
BR-C048-CHMBR,57.76,47.14,43.83 Kbps,84.25 Kbps,123.25 Kbps,65.14 Kbps
BR-C049-NPNVL-NEW,52.08,44.9,35.49 Kbps,54.11 Kbps,107.29 Kbps,35.90 Kbps
BR-C050-IDRNG,63.05,47.83,52.07 Kbps,98.11 Kbps,220.33 Kbps,47.36 Kbps
BR-C051-CHRKP,57.53,46.95,46.25 Kbps,183.41 Kbps,104.23 Kbps,39.16 Kbps
BR-C052-AMBTH,56.8,46.27,31.37 Kbps,69.25 Kbps,214.00 Kbps,69.93 Kbps
BR-C053-BHNDP,54.67,46.53,52.89 Kbps,172.88 Kbps,125.79 Kbps,42.02 Kbps
BR-C054-MIRRD,56.63,45.97,53.79 Kbps,203.36 Kbps,43.73 Kbps,21.06 Kbps
BR-C055-SATRA,51.62,45.78,34.07 Kbps,60.49 Kbps,113.59 Kbps,41.06 Kbps
BR-C056-WNWDI,70.62,46.4,38.93 Kbps,58.58 Kbps,208.59 Kbps,35.72 Kbps
BR-C057-KTHRD,62.86,47.79,35.54 Kbps,135.45 Kbps,150.52 Kbps,54.32 Kbps
BR-C058-KLYNR,52.84,45.95,51.58 Kbps,105.64 Kbps,238.63 Kbps,51.74 Kbps
BR-C059-BDLPR,57.55,48.02,58.91 Kbps,94.66 Kbps,238.94 Kbps,46.90 Kbps
BR-C070-RVKRJ,52,47.37,42.37 Kbps,61.84 Kbps,101.19 Kbps,32.23 Kbps
BR-C071-ANDRI,52.25,46.29,54.12 Kbps,91.74 Kbps,205.66 Kbps,75.11 Kbps
BR-C072-VAS12,57.38,47.17,29.09 Kbps,54.60 Kbps,145.97 Kbps,46.70 Kbps
BR-C073-PTLPD,51.91,46.01,46.86 Kbps,91.20 Kbps,242.84 Kbps,51.08 Kbps
BR-C074-MAPSA,53.82,46.44,41.22 Kbps,70.29 Kbps,198.57 Kbps,49.37 Kbps
BR-C075-KRWDL,70.23,47.55,38.30 Kbps,70.27 Kbps,186.20 Kbps,62.44 Kbps
BR-C076-BELGN,62.15,48.11,26.10 Kbps,47.09 Kbps,186.70 Kbps,51.24 Kbps
BR-C077-ARGBD,57.41,45.94,46.91 Kbps,56.46 Kbps,102.49 Kbps,39.42 Kbps
BR-C078-DADAR,53.93,45.77,35.03 Kbps,54.50 Kbps,283.52 Kbps,52.53 Kbps
BR-C079-LATUR,70.49,47.07,36.87 Kbps,52.00 Kbps,118.78 Kbps,39.09 Kbps
BR-C080-KLHPR,60.04,45.08,35.80 Kbps,55.02 Kbps,101.31 Kbps,35.41 Kbps
